,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
1989,wild target,billnighy emilyblunt rupertgrint ruperteverett eileenatkins,jonathanlynn,london mother robbery detective assassin,action comedy,tt1235189,0.17200000000000001,billnighy emilyblunt rupertgrint ruperteverett eileenatkinsjonathanlynnaction comedylondon mother robbery detective assassin
1990,from paris with love,johntravolta jonathanrhysmeyers kasiasmutniak richarddurden bingyin,pierremorel,paris cia undercover explosive pimp,action crime thriller,tt1179034,0.17400000000000002,johntravolta jonathanrhysmeyers kasiasmutniak richarddurden bingyinpierremorelaction crime thrillerparis cia undercover explosive pimp
1991,the ghost writer,ewanmcgregor piercebrosnan jonbernthal kimcattrall tomwilkinson,romanpolanski,london cia warcrimes tonyblair author,thriller mystery,tt1139328,0.346,ewanmcgregor piercebrosnan jonbernthal kimcattrall tomwilkinsonromanpolanskithriller mysterylondon cia warcrimes tonyblair author
1992,it's kind of a funny story,keirgilchrist emmaroberts zachgalifianakis violadavis zoã«kravitz,annaboden ryanfleck,suicide depression independentfilm comingofage teenmovie,comedy drama,tt0804497,0.505,keirgilchrist emmaroberts zachgalifianakis violadavis zoã«kravitzannaboden ryanfleckcomedy dramasuicide depression independentfilm comingofage teenmovie
1993,the next three days,russellcrowe elizabethbanks briandennehy rza moranatias,paulhaggis,evidence passport argument countyjail fingerprints,romance drama thriller crime,tt1458175,0.472,russellcrowe elizabethbanks briandennehy rza moranatiaspaulhaggisromance drama thriller crimeevidence passport argument countyjail fingerprints
1995,the losers,jeffreydeanmorgan zoesaldana chrisevans idriselba columbusshort,sylvainwhite,hospital blackops referencetomacgyver suckedintojetengine,action adventure crime mystery thriller,tt0480255,0.21300000000000002,jeffreydeanmorgan zoesaldana chrisevans idriselba columbusshortsylvainwhiteaction adventure crime mystery thrillerhospital blackops referencetomacgyver suckedintojetengine
1996,the fighter,markwahlberg christianbale amyadams melissaleo mickeyo'keefe,davido.russell,sport irishamerican documentarycrew lowellmassachusetts bluecollarworker,drama,tt0964517,0.5840000000000001,markwahlberg christianbale amyadams melissaleo mickeyo'keefedavido.russelldramasport irishamerican documentarycrew lowellmassachusetts bluecollarworker
1998,tucker and dale vs evil,alantudyk tylerlabine katrinabowden jessemoss philipgranger,elicraig,cabin chainsaw hillbilly bodyinchipper cutoffjeans,comedy horror,tt1465522,0.6300000000000001,alantudyk tylerlabine katrinabowden jessemoss philipgrangerelicraigcomedy horrorcabin chainsaw hillbilly bodyinchipper cutoffjeans
2002,my name is khan,shahrukhkhan kajol jimmyshergill zarinawahab tanaychheda,karanjohar,bollywood,drama romance,tt1188996,0.788,shahrukhkhan kajol jimmyshergill zarinawahab tanaychhedakaranjohardrama romancebollywood
2004,inside job,mattdamon williamackman barackobama georgew.bush jonathanalpert,charlesferguson,corruption capitalism globalization bank banker,documentary,tt1645089,0.797,mattdamon williamackman barackobama georgew.bush jonathanalpertcharlesfergusondocumentarycorruption capitalism globalization bank banker
2012,the experiment,"forestwhitaker camgigandet adrienbrody maggiegrace cliftoncollins,jr.",paulscheuring,experimentwithhumanbeings psychologicalthriller experimentgonewrong,thriller drama,tt0997152,0.369,"forestwhitaker camgigandet adrienbrody maggiegrace cliftoncollins,jr.paulscheuringthriller dramaexperimentwithhumanbeings psychologicalthriller experimentgonewrong"
2013,let me in,kodismit-mcphee chloã«gracemoretz richardjenkins eliaskoteas sashabarrese,mattreeves,vampire childvampire remake bully youngboy,drama horror mystery,tt1228987,0.377,kodismit-mcphee chloã«gracemoretz richardjenkins eliaskoteas sashabarresemattreevesdrama horror mysteryvampire childvampire remake bully youngboy
2014,flipped,madelinecarroll callanmcauliffe anthonyedwards aidanquinn rebeccademornay,robreiner,shyness basedonnovel unrequitedlove neighbor familyrelationships,comedy drama romance,tt0817177,0.6220000000000001,madelinecarroll callanmcauliffe anthonyedwards aidanquinn rebeccademornayrobreinercomedy drama romanceshyness basedonnovel unrequitedlove neighbor familyrelationships
2015,legend of the guardians: the owls of ga'hoole,emilybarclay abbiecornish essiedavis joeledgerton deborra-leefurness,zacksnyder,owl,animation adventure family fantasy,tt1219342,0.35500000000000004,emilybarclay abbiecornish essiedavis joeledgerton deborra-leefurnesszacksnyderanimation adventure family fantasyowl
2016,takers,chrisbrown haydenchristensen mattdillon michaelealy idriselba,johnluessenhop,heist,action crime drama thriller,tt1135084,0.18,chrisbrown haydenchristensen mattdillon michaelealy idriselbajohnluessenhopaction crime drama thrillerheist
2017,burlesque,cher christinaaguilera ericdane camgigandet juliannehough,steveantin,musical losangeles burlesque burlesquedancer,drama romance,tt1126591,0.472,cher christinaaguilera ericdane camgigandet juliannehoughsteveantindrama romancemusical losangeles burlesque burlesquedancer
2018,the company men,benaffleck tommyleejones chriscooper kevincostner mariabello,johnwells,stockprice corporate carpenter jobhunting,drama,tt1172991,0.28800000000000003,benaffleck tommyleejones chriscooper kevincostner mariabellojohnwellsdramastockprice corporate carpenter jobhunting
2020,faster,dwaynejohnson billybobthornton maggiegrace carlagugino tomberenger,"georgetillman,jr.",nan,crime drama action thriller,tt1433108,0.20900000000000002,"dwaynejohnson billybobthornton maggiegrace carlagugino tomberengergeorgetillman,jr.crime drama action thrillernan"
2021,la rafle,jeanreno mã©lanielaurent gadelmaleh raphaã«lleagoguã© sylvietestud,roselynebosch,womandirector,drama history war,tt1382725,0.66,jeanreno mã©lanielaurent gadelmaleh raphaã«lleagoguã© sylvietestudroselyneboschdrama history warwomandirector
2023,never let me go,careymulligan andrewgarfield keiraknightley domhnallgleeson andreariseborough,markromanek,soul basedonnovel sadness forgiveness dystopia,drama romance sciencefiction,tt1334260,0.41400000000000003,careymulligan andrewgarfield keiraknightley domhnallgleeson andreariseboroughmarkromanekdrama romance sciencefictionsoul basedonnovel sadness forgiveness dystopia
2024,batman: under the red hood,brucegreenwood jensenackles neilpatrickharris jasonisaacs johndimaggio,brandonvietti,martialarts vigilante joker superhero basedoncomicbook,action animation,tt1569923,0.793,brucegreenwood jensenackles neilpatrickharris jasonisaacs johndimaggiobrandonviettiaction animationmartialarts vigilante joker superhero basedoncomicbook
2028,mother's day,rebeccademornay jaimeking patrickjohnflueger deborahannwoll frankgrillo,darrenlynnbousman,hostage vomit carcrash photograph pistol,crime drama horror thriller,tt1434435,0.203,rebeccademornay jaimeking patrickjohnflueger deborahannwoll frankgrillodarrenlynnbousmancrime drama horror thrillerhostage vomit carcrash photograph pistol
2029,monsters,whitneyable scootmcnairy annaleejefferies kevonkane fernandolara,garethedwards,monster pyramid radio dystopia infection,drama thriller sciencefiction,tt1470827,0.24899999999999997,whitneyable scootmcnairy annaleejefferies kevonkane fernandolaragarethedwardsdrama thriller sciencefictionmonster pyramid radio dystopia infection
2030,the way,martinsheen emilioestevez deborahkaraunger jamesnesbitt yorickvanwageningen,emilioestevez,france father-sonrelationship spain pilgrimage roadtrip,adventure comedy drama,tt1441912,0.624,martinsheen emilioestevez deborahkaraunger jamesnesbitt yorickvanwageningenemilioestevezadventure comedy dramafrance father-sonrelationship spain pilgrimage roadtrip
2031,life as we know it,katherineheigl joshduhamel christinahendricks joshlucas jeansmart,gregberlanti,baby godmother deathofafriend romanticcomedy parenthood,comedy romance drama,tt1055292,0.35500000000000004,katherineheigl joshduhamel christinahendricks joshlucas jeansmartgregberlanticomedy romance dramababy godmother deathofafriend romanticcomedy parenthood
2033,beginners,ewanmcgregor christopherplummer mã©lanielaurent goranvisnjic kailennox,mikemills,gay lossofmother secret comingout lossoffather,drama romance comedy,tt1532503,0.45699999999999996,ewanmcgregor christopherplummer mã©lanielaurent goranvisnjic kailennoxmikemillsdrama romance comedygay lossofmother secret comingout lossoffather
2034,minions: home makeover,mirandacosgrove danagaier elsiekatefisher pierrecoffin,kylebalda samueltourneux,nan,animation comedy family,tt1830633,0.581,mirandacosgrove danagaier elsiekatefisher pierrecoffinkylebalda samueltourneuxanimation comedy familynan
2039,i spit on your grave,sarahbutler danielfranzese chadlindberg jeffbranson rodneyeastman,stevenr.monroe,rape fondling revenge writer strangulation,thriller crime horror,tt1242432,0.20500000000000002,sarahbutler danielfranzese chadlindberg jeffbranson rodneyeastmanstevenr.monroethriller crime horrorrape fondling revenge writer strangulation
2041,morning glory,rachelmcadams harrisonford patrickwilson jeffgoldblum dianekeaton,rogermichell,workethic tvmorningshow tvreporter,comedy drama romance,tt1126618,0.16999999999999998,rachelmcadams harrisonford patrickwilson jeffgoldblum dianekeatonrogermichellcomedy drama romanceworkethic tvmorningshow tvreporter
2042,conviction,hilaryswank minniedriver baileemadison lorendean johnpyper-ferguson,tonygoldwyn,prison brothersisterrelationship lawschool,drama,tt1244754,0.536,hilaryswank minniedriver baileemadison lorendean johnpyper-fergusontonygoldwyndramaprison brothersisterrelationship lawschool
2047,fair game,naomiwatts seanpenn tyburrell brookesmith brucemcgill,dougliman,cia nuclearscientist iraq politician duringcreditsstinger,drama thriller,tt0977855,0.28900000000000003,naomiwatts seanpenn tyburrell brookesmith brucemcgilldouglimandrama thrillercia nuclearscientist iraq politician duringcreditsstinger
2049,planet hulk,rickd.wasserman marcworden markhildreth kevinmichaelrichardson samvincent,samliu,illuminati marvelcomic superhero basedoncomicbook spaceopera,animation action sciencefiction,tt1483025,0.373,rickd.wasserman marcworden markhildreth kevinmichaelrichardson samvincentsamliuanimation action sciencefictionilluminati marvelcomic superhero basedoncomicbook spaceopera
2050,buried,ryanreynolds josã©luisgarcã­apã©rez robertpaterson stephentobolowsky samanthamathis,rodrigocortã©s,isolation coffin raceagainsttime buriedalive survival,drama thriller mystery,tt1462758,0.335,ryanreynolds josã©luisgarcã­apã©rez robertpaterson stephentobolowsky samanthamathisrodrigocortã©sdrama thriller mysteryisolation coffin raceagainsttime buriedalive survival
2055,the kids are all right,juliannemoore annettebening markruffalo miawasikowska joshhutcherson,lisacholodenko,waitress sperm underwear lesbian dinner,comedy drama,tt0842926,0.29600000000000004,juliannemoore annettebening markruffalo miawasikowska joshhutchersonlisacholodenkocomedy dramawaitress sperm underwear lesbian dinner
2058,the debt,helenmirren samworthington jessicachastain tomwilkinson ciarã¡nhinds,johnmadden,beach mossad secretagent insaneasylum lye,drama thriller,tt1226753,0.16899999999999998,helenmirren samworthington jessicachastain tomwilkinson ciarã¡nhindsjohnmaddendrama thrillerbeach mossad secretagent insaneasylum lye
2061,unthinkable,samuell.jackson carrie-annemoss michaelsheen stephenroot lorakojovic,gregorjordan,suspense psychologicalthriller violence building tvnews,action adventure drama thriller,tt0914863,0.32200000000000006,samuell.jackson carrie-annemoss michaelsheen stephenroot lorakojovicgregorjordanaction adventure drama thrillersuspense psychologicalthriller violence building tvnews
2062,winter's bone,jenniferlawrence johnhawkes kevinbreznahan daledickey garretdillahunt,debragranik,father court bail drugtrade girl,drama,tt1399683,0.41400000000000003,jenniferlawrence johnhawkes kevinbreznahan daledickey garretdillahuntdebragranikdramafather court bail drugtrade girl
2063,gainsbourg (vie hã©roã¯que),ericelmosnino lucygordon laetitiacasta annamouglalis dougjones,joannsfar,beach jazz seduction musical song,drama,tt1329457,0.49300000000000005,ericelmosnino lucygordon laetitiacasta annamouglalis dougjonesjoannsfardramabeach jazz seduction musical song
2068,ramona and beezus,joeyking selenagomez johncorbett bridgetmoynahan ginnifergoodwin,elizabethallenrosenbaum,sistersisterrelationship motherdaughterrelationship auntniecerelationship fatherdaughterrelationship duringcreditsstinger,comedy family,tt0493949,0.202,joeyking selenagomez johncorbett bridgetmoynahan ginnifergoodwinelizabethallenrosenbaumcomedy familysistersisterrelationship motherdaughterrelationship auntniecerelationship fatherdaughterrelationship duringcreditsstinger
2072,jackass 3d,johnnyknoxville bammargera ryandunn steve-o chrispontius,jefftremaine,pain stunt stuntman stupidity comedy,comedy documentary action,tt1116184,0.31900000000000006,johnnyknoxville bammargera ryandunn steve-o chrispontiusjefftremainecomedy documentary actionpain stunt stuntman stupidity comedy
2073,minions: banana,pierrecoffin,kylebalda samueltourneux,nan,animation comedy family,tt1814643,0.6170000000000001,pierrecoffinkylebalda samueltourneuxanimation comedy familynan
2075,senna,ayrtonsenna alainprost frankwilliams rondennis vivianesenna,asifkapadia,brazilian career legend champion sport,documentary,tt1424432,0.9540000000000001,ayrtonsenna alainprost frankwilliams rondennis vivianesennaasifkapadiadocumentarybrazilian career legend champion sport
2084,the killer inside me,caseyaffleck katehudson jessicaalba nedbeatty tombower,michaelwinterbottom,sheriff crimefighter,crime drama thriller,tt0954947,0.154,caseyaffleck katehudson jessicaalba nedbeatty tombowermichaelwinterbottomcrime drama thrillersheriff crimefighter
